formula,minimum Number,range Number,avg_dev Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,maximum AtomicWeight,mean AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,maximum Row,range Row,avg_dev Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,range NfUnfilled,mean NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,bandgap_transformed
Ag2P2PbO7,8.0,74.0,18.416666666666668,65.0,87.0,22.0,82.16666666666667,5.916666666666664,87.0,207.2,49.739977,15.9994,54.8,1234.93,1180.13,340.7225,341.38374999999996,54.8,11.0,16.0,5.0,14.833333333333334,1.4166666666666663,16.0,6.0,4.0,1.1666666666666667,66.0,146.0,80.0,92.66666666666669,31.11111111111111,66.0,1.93,3.44,1.51,2.8874999999999997,0.6445833333333334,3.44,1.0,2.0,1.0,1.8333333333333333,0.2777777777777778,2.0,0.0,4.0,4.0,3.0,1.1666666666666667,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,1.1666666666666667,2.138888888888889,0.0,5.0,28.0,23.0,8.5,4.083333333333333,6.0,0.0,1.0,0.1666666666666666,0.2777777777777777,0.0,0.0,4.0,4.0,2.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.1666666666666665,0.5833333333333334,2.0,9.105,28.11,14.137123015866663,5.870810185177777,9.105,0.0,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,63.583333333333336,80.70833333333333,12.0,0.0
Ag2PdO2,8.0,39.0,18.56,62.0,87.0,25.0,73.2,11.04,65.0,107.8682,70.83104,15.9994,54.8,1828.05,1773.25,881.5020000000001,661.3616,54.8,10.0,16.0,6.0,12.8,2.56,11.0,5.0,3.0,1.44,66.0,145.0,79.0,112.2,36.96,66.0,1.93,3.44,1.51,2.588,0.6816,1.93,0.0,2.0,2.0,1.2,0.64,1.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.8,2.24,6.0,0.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,1.0,9.105,16.33,13.056,3.160799999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,139.8,102.24,12.0,0.16551443847757333
Ag3AsO4,8.0,39.0,17.75,65.0,87.0,22.0,78.375,10.03125,87.0,107.8682,57.815475,15.9994,54.8,1234.93,1180.13,626.74875,571.94875,54.8,11.0,16.0,5.0,14.0,2.25,16.0,5.0,3.0,1.375,66.0,145.0,79.0,102.25,36.25,66.0,1.93,3.44,1.51,2.71625,0.72375,3.44,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,4.0,4.0,2.375,1.78125,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.0,3.0,6.0,0.0,1.0,0.375,0.46875,0.0,0.0,3.0,3.0,1.375,1.03125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.75,0.5625,2.0,9.105,22.175,13.448125,4.343124999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,111.125,99.125,12.0,0.0
Ag3Pd,46.0,1.0,0.375,62.0,65.0,3.0,64.25,1.125,65.0,107.8682,107.50615,107.8682,1234.93,1828.05,593.1199999999999,1383.21,222.41999999999996,1234.93,10.0,11.0,1.0,10.75,0.375,11.0,5.0,0.0,0.0,139.0,145.0,6.0,143.5,2.25,145.0,1.93,2.2,0.2700000000000002,1.9975,0.1012500000000001,1.93,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,1.0,10.75,0.375,11.0,0.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,14.41,16.33,15.849999999999998,0.7199999999999998,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,0.0
Ag3RuO4,8.0,39.0,19.125,56.0,87.0,31.0,74.875,12.125,87.0,107.8682,61.084025,15.9994,54.8,2607.0,2552.2,816.37375,761.57375,54.8,8.0,16.0,8.0,13.125,2.875,16.0,5.0,3.0,1.5,66.0,146.0,80.0,105.625,39.625,66.0,1.93,3.44,1.51,2.71875,0.72125,3.44,1.0,2.0,1.0,1.5,0.5,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,4.625,4.625,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.125,2.15625,6.0,0.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.375,0.65625,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.875,0.65625,2.0,9.105,16.33,12.364999999999998,3.259999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,114.625,102.625,12.0,0.0
Ag5IO6,8.0,45.0,20.0,65.0,96.0,31.0,78.58333333333333,11.319444444444445,87.0,126.90447,63.52015583333334,15.9994,54.8,1234.93,1180.13,574.1916666666667,550.6152777777778,54.8,11.0,17.0,6.0,14.0,2.5,16.0,5.0,3.0,1.5,66.0,145.0,79.0,105.0,39.0,66.0,1.93,3.44,1.51,2.7458333333333336,0.6941666666666667,3.44,1.0,2.0,1.0,1.5833333333333333,0.4861111111111111,2.0,0.0,5.0,5.0,2.4166666666666665,2.013888888888889,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,9.0,3.0,6.0,0.0,1.0,0.4166666666666667,0.486111111111111,0.0,0.0,2.0,2.0,1.0833333333333333,0.9166666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,2.0,9.105,43.015,14.941249999999998,5.83625,9.105,0.0,1.062,0.0885,0.16225,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,105.08333333333331,99.93055555555556,12.0,0.8754687373538999
Ag7(SI)2,16.0,37.0,9.619834710743802,65.0,96.0,31.0,74.81818181818181,12.49586776859504,65.0,126.90447,97.54694,107.8682,386.85,1234.93,848.08,926.8118181818182,392.1504132231405,1234.93,11.0,17.0,6.0,13.0,2.5454545454545454,11.0,5.0,2.0,0.5950413223140494,105.0,145.0,40.0,136.63636363636363,11.504132231404965,145.0,1.93,2.66,0.7300000000000002,2.180909090909091,0.3193388429752067,1.93,1.0,2.0,1.0,1.3636363636363635,0.4628099173553719,1.0,0.0,5.0,5.0,1.6363636363636365,2.0826446280991733,0.0,0.0,10.0,10.0,8.181818181818182,2.9752066115702487,10.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,11.181818181818182,2.115702479338843,11.0,0.0,1.0,0.6363636363636364,0.4628099173553719,1.0,0.0,2.0,2.0,0.5454545454545454,0.6942148760330578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.181818181818182,0.2975206611570248,1.0,16.33,43.015,22.90125,8.36340909090909,16.33,0.0,2.202,0.5934545454545455,0.7553057851239671,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,167.54545454545453,73.12396694214875,225.0,0.0
Ag7AsS6,16.0,31.0,14.326530612244897,65.0,88.0,23.0,76.21428571428571,11.214285714285714,65.0,107.8682,73.02778571428571,107.8682,388.36,1234.93,846.57,861.7621428571429,405.7732653061225,1234.93,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,5.0,2.0,0.9285714285714286,105.0,145.0,40.0,126.0,19.0,145.0,1.93,2.58,0.6500000000000001,2.226428571428571,0.303061224489796,1.93,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.9285714285714288,1.9285714285714288,0.0,0.0,10.0,10.0,5.714285714285714,4.8979591836734695,10.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.142857142857142,2.693877551020408,11.0,0.0,1.0,0.5,0.5,1.0,0.0,3.0,3.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5714285714285714,0.5714285714285714,1.0,16.33,25.786875,20.800446428571423,4.470446428571429,16.33,0.0,2.202,0.9437142857142856,1.078530612244898,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,154.35714285714286,72.3061224489796,225.0,0.6931471805599453
Ag7AsSe6,33.0,14.0,6.571428571428571,65.0,89.0,24.0,76.64285714285714,11.642857142857142,65.0,107.8682,93.12564285714286,107.8682,494.0,1234.93,740.9300000000001,907.0364285714286,354.03122448979593,1234.93,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,5.0,1.0,0.5,119.0,145.0,26.0,132.42857142857142,12.571428571428571,145.0,1.93,2.55,0.6199999999999999,2.2135714285714285,0.2883673469387754,1.93,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.9285714285714288,1.9285714285714288,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,0.0,1.0,0.5,0.5,1.0,0.0,3.0,3.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5714285714285714,0.5714285714285714,1.0,16.33,25.92,20.8575,4.527500000000002,16.33,0.0,0.799,0.3424285714285714,0.3913469387755102,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,130.35714285714286,99.734693877551,225.0,0.6931471805599453
Ag7NO11,7.0,40.0,18.18836565096953,65.0,87.0,22.0,78.63157894736842,10.044321329639889,87.0,107.8682,49.740921052631585,15.9994,54.8,1234.93,1180.13,490.018947368421,548.8818282548476,54.8,11.0,16.0,5.0,14.105263157894736,2.2880886426592797,16.0,5.0,3.0,1.3961218836565097,66.0,145.0,79.0,95.36842105263158,36.57063711911358,66.0,1.93,3.44,1.51,2.8626315789473686,0.687202216066482,3.44,1.0,2.0,1.0,1.631578947368421,0.4653739612188365,2.0,0.0,4.0,4.0,2.473684210526316,1.8227146814404431,4.0,0.0,10.0,10.0,3.6842105263157894,4.653739612188366,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,7.7894736842105265,2.365650969529086,6.0,0.0,1.0,0.3684210526315789,0.4653739612188365,0.0,0.0,3.0,3.0,1.3157894736842106,0.969529085872576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.6842105263157894,0.5041551246537397,2.0,9.105,16.33,12.064934210526316,3.427292243767313,9.105,0.0,6.437,0.3387894736842105,0.6419168975069252,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,100.05263157894736,101.95567867036011,12.0,0.0
